-0.004828+0.0014722i,-0.003511+0.0026195i,-0.0016465+0.0031271i,0.00030541+0.0022554i,-0.00032982+0.0017118i,-0.0013444+0.0012416i,-0.00068716+0.00038307i,3.3073e-05+0.00049403i,0.00087517+0.0016033i,0.001705+0.0013388i,0.0022511+0.00016757i,0.0013314-0.00057649i,-0.00016519-0.0013966i,-0.00058112-0.0010495i,-0.00022758-0.00040158i,-0.00010231-0.00030494i,-3.4666e-05+0.00017271i,2.3736e-05-0.00069737i,0.00034971-0.0010732i,-1.7114e-05-5.3948e-05i,-0.00018475+0.00071503i,0.00048849+0.00071374i,0.00078063+0.00063494i
-0.0013594-0.0021122i,0.00012734-0.001091i,0.00018871+0.0001968i,0.00077057+0.000893i,0.0010035-0.00061775i,0.00033771-0.0015707i,0.00023795-0.00037849i,0.00044337+0.00088287i,0.00045357+0.0012849i,-4.1395e-06+0.0017976i,0.00018273+0.0019716i,0.0012008+0.0012404i,0.0012204+0.00038626i,0.00039338+0.00023289i,4.2973e-05-4.6459e-05i,0.00023465-0.00084049i,0.00040881-0.0007911i,0.00022657-0.00032255i,0.00037641+0.00016198i,0.00028148+0.00035234i,-0.00017235-4.3972e-05i,0.00034188+0.00023262i,0.0010381+0.0003397i
0.001563-0.001217i,0.00077257-0.00091362i,-0.00031103-0.0013154i,-0.0006163-0.001217i,2.9853e-05-0.0012432i,0.00043784-0.00062965i,0.00021004+0.00038551i,9.4779e-05+0.00075574i,1.871e-05+0.00073812i,0.000306+0.00051056i,0.00051801+0.00032934i,0.00092799+0.0001002i,0.0009215-0.00037282i,0.00080235-0.00010614i,0.00025189-0.00037634i,-0.00074754-0.0015454i,-0.00069748-0.0019481i,9.7519e-05-0.00073334i,0.00047626+0.00013517i,0.00042747-0.00011222i,0.0010005-2.2623e-05i,0.0012654+0.0001422i,0.00060647+0.00021063i
-0.00029719+0.00010158i,0.00019704+0.00073236i,0.00019132+0.00044822i,-9.2706e-05+0.00030268i,0.00031681+2.2472e-05i,0.00023715+0.00018666i,-0.00035934+0.00019624i,-0.00065551+0.00033724i,-0.00079143+0.00041603i,-0.00071913-0.0001399i,-0.00047554-0.00049827i,-0.00025383-0.00035011i,0.00014565+6.7418e-05i,-0.0002084+0.00057282i,-0.00070183+0.0011419i,-0.00023161+0.0011555i,-7.149e-06+0.00056157i,0.00021601+9.3718e-05i,0.00027108+0.00039728i,-0.00015364-0.00026401i,-0.00035238-0.00050586i,-7.0975e-06+1.133e-05i,0.0011148-9.2785e-05i
-0.00032263-0.0019193i,-0.00051216-0.0033034i,-0.00036226-0.0030981i,0.00023242-0.0014121i,0.00054688-0.00087689i,0.00060364-0.0006314i,-1.8481e-05-0.00027823i,-0.0012834-0.00021748i,-0.0018009+3.9664e-05i,-0.0018269+0.00041178i,-0.00077626+0.00041787i,0.00015753+0.0010256i,-3.1933e-05+0.0012804i,-1.3547e-05+0.00044679i,0.00033794+0.00046738i,0.00037431+0.00042514i,0.00047468+1.8108e-06i,0.00032469-0.00020506i,-0.00032202+6.34e-06i,-0.00043254+0.00028969i,0.00012797+0.00027934i,0.00021415+0.00016817i,-6.2128e-05-0.00045595i
0.0011567-0.001437i,0.00050886-0.0012801i,-0.00022498-0.0012085i,-0.00026481-0.0010537i,-0.001012-0.0010592i,-0.0015684+0.00021088i,-0.00033604+0.0010741i,-0.00021697+0.00098561i,-0.0013517+0.0015i,-0.0016942+0.0017597i,-0.0017506+0.0017838i,-0.0016392+0.0019605i,-0.00078639+0.0020641i,0.00027924+0.0018116i,0.0012899+0.00090685i,0.0011364+0.00055661i,0.00070775+0.00079932i,-0.00013675+0.0009017i,-0.00066726+0.00065715i,-0.00058792+0.00026157i,-0.00068495-0.00025049i,-0.00019553+0.00014127i,-0.00046527+0.00089283i
-4.9532e-05+0.0016181i,1.3258e-05+0.0019533i,0.00063917+0.0024162i,0.0012329+0.0010377i,0.0012441-0.0016364i,0.00044775-0.0019232i,-0.00029782-0.0010002i,-0.00023093-0.00027352i,-1.2711e-05+0.00098617i,0.0003898+0.0017619i,0.00088914+0.0015438i,0.00056005+0.00099234i,0.00021319+0.0010408i,-0.0002981+0.0011415i,-0.00050761+0.00023727i,-0.00020762-0.00032732i,-0.00013028-0.00041443i,-0.00011643-0.00049823i,-9.3576e-05+1.9712e-05i,-0.00021984+1.615e-05i,-0.00017069-0.00014187i,0.00014942+0.00057648i,6.1775e-05+0.00044043i
0.00040512-0.0001699i,0.0012691+0.00046794i,0.0017354+0.0010639i,0.0017608+0.0012496i,0.0021065+0.0005994i,0.0019652+9.4331e-05i,0.0012669+0.00042594i,0.00028798+0.00081182i,-0.00016182+0.00021756i,0.00017384-6.5265e-05i,0.00029197+0.00017874i,0.00040883-0.00011825i,0.0012032-0.00072562i,0.0012444-0.00034853i,0.00052308+0.00013036i,0.00048375-0.00016319i,0.001078-0.00048126i,0.00056324-0.00018722i,-0.00055502-0.00022671i,-0.00089249-0.00020699i,-0.00033494+0.00010279i,0.00040477-0.00029865i,0.00028562-0.00024391i
0.00067581-0.00079504i,0.00028309-0.0012883i,-0.00028401-0.002439i,-0.00041001-0.0024166i,-0.00053689-0.0011868i,-0.00082201-0.00025794i,-0.00062753+0.00029351i,0.00011802+0.0013656i,-1.4362e-05+0.0008882i,-0.00064724-0.00022339i,-0.0011559-0.00068761i,-0.0012714-0.0011671i,-0.00085599-0.00080899i,-0.0003987-0.00033622i,1.9286e-05+1.0909e-05i,0.00046231-7.3644e-05i,0.00016469-0.0003009i,-0.00054718-0.00013069i,-0.00074163-0.00016002i,-0.00036049-1.4104e-05i,-0.0005225+0.00020816i,-0.00081976+0.00035452i,-0.0008455+0.00056012i
0.001806-0.0016707i,0.0012004-0.00050997i,-0.00010356+0.00026013i,-0.00011955-0.00027777i,0.00072633-0.00084078i,0.00080412-0.00028981i,7.6542e-05+0.00050308i,-0.00036949+0.00083546i,-0.0013505+0.00081904i,-0.0019269+0.00074736i,-0.0008607+0.0010881i,-0.00028663+0.00052033i,-0.00098971-0.0005871i,-0.00059149-0.00059703i,-4.5445e-05+0.0003268i,-0.00027516+7.1306e-05i,-0.00065552-0.00051945i,-0.0001438+0.00039343i,0.00011383+0.0012638i,0.00014972+0.0002653i,-0.00024733-0.00052278i,-0.00075105-0.00055597i,0.0001614+0.00018618i
1.2444e-05-0.0012522i,-0.0019946-0.00063977i,-0.0018284-0.00049183i,-0.00031345-0.001208i,-0.00056719-0.0018961i,-0.00095163-0.00070444i,-0.00064164+0.00030915i,-0.0010005+0.00031488i,-0.0015806+0.00068778i,-0.0011631+0.0021671i,-0.0010979+0.0033001i,-0.00087599+0.0028985i,-0.00028853+0.0018064i,0.00088899+0.0012544i,0.0010113+0.00075149i,0.00046235-0.00088794i,-0.00018726-0.0019811i,-0.00019801-0.0021456i,-0.00017992-0.001501i,-0.00019921-0.0011061i,0.00019442-0.00083152i,0.00020421+0.00016062i,0.00062167+0.00026406i
0.0018195+0.0011346i,0.0019403+0.00027106i,0.0030132-0.00016113i,0.0030288-0.00013979i,0.0019874-0.0019678i,0.00018422-0.0029345i,-0.00092265-0.0021123i,-0.00080871-0.0010634i,0.00045684+0.00046561i,0.0016641+0.0014061i,0.0020223+0.0015393i,0.0018927+0.0013802i,0.0011161+0.0010881i,0.00027552+0.00054095i,0.0002873-0.00023911i,0.00030889-0.00024836i,4.6813e-05-0.00014481i,0.00036177+3.3303e-05i,5.2251e-05+0.0001831i,-0.00033572-0.00013317i,-9.2923e-05-0.00073381i,0.00030268-0.00048293i,9.834e-06+0.00038323i
-0.00020417+0.0010695i,0.0008218+0.00069434i,0.0013655+0.00039539i,0.0015986+0.00076639i,0.00054994+7.6287e-06i,-0.00013735-0.0006722i,0.00014674-0.00085461i,0.00030952-0.00029205i,0.00098128+0.00047698i,0.0020551+0.00055195i,0.0020144+0.00034717i,0.00087395+0.00045345i,-8.2888e-05+0.00044388i,-1.1823e-05+0.00011833i,0.00018703+5.7754e-05i,6.5613e-05-0.00041275i,0.00010287-0.00099555i,0.00049705-0.00039403i,0.00018548+0.00029431i,-0.00023972+0.00028154i,-0.00038636+0.00032673i,-0.0004685+0.00026099i,0.00028826+0.00012895i
0.00027946+0.0019144i,0.00020955+0.0020747i,0.0015157+0.0023136i,0.0022699+0.0011905i,0.0017512-0.00070245i,0.00086554-0.0014211i,-0.00015008-0.00088623i,-8.2792e-05-0.0001139i,-0.00035114-0.00013983i,-0.0011192-0.00099838i,-0.0011026-0.0010163i,-0.00041218-0.00063615i,-6.8342e-05-0.00067778i,5.9337e-05-0.00064851i,0.00084307-5.0926e-05i,0.0010917+0.00058517i,0.00036915+0.00078654i,-0.00010202+0.0003249i,-0.00024676-0.00018656i,-0.00025572-0.00033709i,-0.00028437+1.7024e-05i,-2.9787e-05+0.00049882i,0.00060387-6.8809e-05i
0.00010961-0.00045807i,-0.00051456+0.00020364i,-0.00067292+0.00034607i,-0.00030725+0.00026174i,5.2903e-05-0.0011851i,0.0010287-0.001621i,0.00087978-0.00045145i,-0.00031259-0.00027037i,-0.001203-0.0003587i,-0.0016845+0.0003948i,-0.0012329+0.00075524i,-0.0010132+0.00036221i,-0.0014727+4.093e-05i,-0.00099524-0.00060152i,-0.00031153-0.00058397i,-0.00024538-7.9753e-05i,0.00030448-0.00040618i,-0.00023638-0.0012996i,-0.00067276-0.0014598i,0.00034107-0.00054826i,0.001059+9.4754e-05i,0.00098844+0.00023306i,0.00032356+3.5691e-05i
-0.0016415-0.0018952i,-0.0015696-3.7953e-05i,-0.0017435+0.0012192i,-0.00035643+0.0013375i,0.0005779+0.0014347i,0.00046106+0.0016531i,-0.00019044+8.412e-05i,-0.000113-0.00089529i,-0.00076066+0.00081818i,-0.0017313+0.0022309i,-0.0011802+0.0017906i,-2.5688e-05+0.0008814i,0.00058154+0.00045626i,-0.00032603+0.0004408i,-0.00090796+0.00038626i,-0.00025918-5.3528e-05i,-0.00022459-0.00081066i,2.6311e-05-0.0013436i,0.00032898-0.00074054i,-6.9633e-05+0.00082038i,-0.00019936+0.0012044i,5.7321e-05+0.00071669i,0.00017329+0.00029363i
0.00031529+0.00078981i,0.00038799-0.00016916i,0.00073314-0.0016516i,0.00075948-0.0016966i,0.00053172-0.0008922i,0.00032765-0.00060795i,8.8706e-05-0.00045029i,-0.0001845-0.00028411i,-0.00034341+0.00087075i,0.00034174+0.0021138i,0.00093143+0.0016665i,0.00043153+0.00090089i,-0.00011756+0.00091767i,-2.2565e-05+0.0014777i,0.00017232+0.0012183i,-0.00012033+0.00058326i,-0.0010105+3.3019e-05i,-0.001266-0.0011626i,-0.0010594-0.0010779i,-0.00065262+4.6139e-06i,-0.00039823+0.00016055i,-0.00017269+0.00024749i,-0.00014506+0.00026554i
0.00042623+0.0004266i,-0.00076375-0.00038575i,-0.00077104+2.6788e-05i,0.00060651+0.00038964i,0.0013954-0.00057122i,0.00041637-0.00088587i,-3.4494e-05-0.00067717i,0.0010728+0.00014355i,0.0016544+0.00049151i,0.0011195-0.00036134i,0.00036238-0.00072959i,-0.00024952+0.00021784i,-0.00083051+0.0012397i,-0.00046248+0.00091473i,-1.8088e-05-4.7721e-06i,0.00058847-0.00067382i,0.0012399-0.0013197i,0.00052909-0.0014731i,3.1062e-05-0.00044574i,-0.00018287+0.00033099i,-0.00060235+0.00011758i,-0.00031625+6.8957e-05i,5.6372e-05+0.0005594i
0.001516-0.00081025i,0.0015208-0.00048533i,0.0021923-0.00020446i,0.0024053-0.00039854i,0.0016781-0.0009557i,0.00035957-0.001201i,-0.00040326+0.00017933i,-0.00020196+0.0005868i,0.00021785+6.1114e-05i,-0.00025064+6.7835e-05i,-9.4272e-05-0.00049121i,-0.00022433+4.7672e-05i,-0.00050875+0.00087518i,-0.00053917+0.0003417i,-0.00031235-1.5667e-05i,-0.00030038+0.00016048i,3.0405e-06+0.00024215i,0.00039896-0.00029441i,2.4892e-05-0.00047877i,0.00023094+0.00014262i,0.00012554+0.0006516i,-0.00014786+0.00092541i,0.00011388+0.00045176i
-0.0027633-0.00085752i,-0.0029734+0.001588i,-0.0031856+0.0032884i,-0.0023933+0.0023766i,-0.00012546+0.0010678i,0.0015786+0.00071345i,0.0015666+0.00032263i,0.00014141-0.00010458i,-0.0012092-4.8927e-05i,-0.0012127-0.00033352i,-0.0012316-0.00054163i,-0.0010736-0.00024971i,0.00019853-0.00076969i,0.00053572-0.00037912i,-2.6382e-05+5.8073e-05i,-0.00036712-0.00047758i,-0.00067895-0.0001829i,-0.0007946+7.0959e-05i,-0.00095342+8.7677e-06i,-0.00047472+9.7517e-05i,0.00031458-0.00027647i,3.5185e-05-0.00071925i,0.00010799-0.00033849i
-0.0028919+0.00083458i,-0.0015145+0.0022646i,-0.00099853+0.0037998i,0.00041865+0.0039378i,0.0025314+0.0030306i,0.0016297+0.0010228i,-0.00047885-0.00037882i,-0.00060806-0.00045739i,-0.001234+0.00048326i,-0.001676+0.0015434i,-0.00075704+0.0016669i,-0.00013995+0.00044288i,0.00036985-0.00059758i,0.0004312-0.00083768i,0.0002891-0.00036824i,0.0007629-0.00051603i,0.00022511-0.0015404i,-0.00056481-0.0014671i,7.6047e-05-0.00071331i,0.00078033-0.00068295i,0.00064572-0.00037271i,0.00019657+0.00012916i,0.0003478-0.00011412i
-0.00029331+0.00089564i,0.00016507+0.00041704i,0.0012473+0.00067162i,0.0031129+0.0012769i,0.0034638+0.00038199i,0.0022038-0.00042163i,0.00072143-0.00043957i,-7.9685e-05+0.00040012i,-6.8014e-06+0.0016535i,0.00057223+0.0019893i,0.0011251+0.0016385i,0.00065322+0.00032297i,-0.00044877+0.00020404i,-0.00061491+0.00022291i,-0.00044861+0.00022972i,-0.00030126+0.0001932i,-7.996e-05-0.00080268i,-0.00066596-0.00073529i,-0.0015009+0.00018847i,-0.001251-0.00011672i,-0.00087142-0.00020009i,-9.4311e-05-3.5608e-05i,0.00024049+0.00012109i
0.0017072-0.00044651i,0.0015494-0.0001275i,0.002496+0.00063917i,0.0025212+0.00056713i,0.0011511-0.00081651i,0.00010469-0.0014078i,-0.00013771-2.485e-05i,0.00036242+0.001538i,0.00056006+0.0018782i,0.0008221+0.001204i,0.0010285+0.00077897i,0.00053324+0.0015058i,-0.00026549+0.0012466i,0.00012338+2.9691e-05i,0.00073768-0.00024155i,0.00028575-0.00033133i,-0.00035955-0.00057103i,-0.0012045-4.7956e-05i,-0.00098638+4.3347e-06i,-9.8104e-05-0.00044859i,0.00035417-0.00052381i,7.8853e-05+0.00046408i,-0.00020398+0.0011286i
0.00044867+0.0011216i,0.0015482+0.0014527i,0.0036628+0.0013077i,0.0032545-0.0002635i,0.0016146-0.001849i,0.0012803-0.002819i,0.0020656-0.0021156i,0.0015262-0.00050332i,0.00019999-0.00036849i,0.00033919-0.00057967i,-7.4746e-05-0.00024147i,-0.00034854+0.00025652i,-0.0001846+0.0015193i,-0.00045799+0.0016733i,-0.00032229+0.0008586i,5.1524e-05+0.00046893i,-0.00049181+0.00033267i,-0.00060405-0.00019167i,0.00025279-0.00052992i,0.00034604-0.00034283i,0.00028985-0.00066011i,0.00055116-0.00037195i,0.00049643+0.00062737i
-0.0019654-0.00057679i,-0.0020797+0.00029237i,-0.0017405+0.0017711i,-0.00047437+0.0024352i,0.00060066+0.0011647i,0.0014278-0.0006658i,0.00058607-0.00098433i,-0.0010182-5.1673e-05i,-0.0016121+0.0004457i,-0.0015857+0.00089325i,-0.0013348+0.0015488i,-0.00079361+0.00079728i,5.5301e-05-0.00093058i,-0.00016152-0.00078346i,-0.00085769+0.00066384i,-0.00042364+0.0016726i,-8.6479e-05+0.0011524i,-0.0001904+0.0001089i,0.00016039+6.1347e-05i,6.1737e-06+0.00068645i,-0.00015734+0.0007797i,0.00062264+0.00046956i,0.00054631+0.00010285i
0.0027+0.00012067i,0.0025498+0.0002986i,0.0019114-1.0854e-05i,0.0007071-0.00033452i,7.1009e-05-0.00097685i,0.0005044-0.00097338i,0.0001159-0.00063997i,-0.0006465-0.00037284i,-0.0011106+0.00096857i,-0.0012814+0.0019583i,-0.0015319+0.0024626i,-0.0012178+0.0023132i,-0.00041269+0.00062656i,-0.00061432+0.0001124i,-0.00083529+0.00070516i,-0.00063401+0.00064094i,-3.6028e-05+0.00062413i,8.2523e-05+0.00076026i,-0.00029529+0.00066335i,-0.00027241+0.00051623i,-0.00018649+4.3176e-05i,7.2694e-05-0.00044844i,0.00041794-0.00032111i
-0.00052453+0.0012465i,-0.0010543+0.0019106i,0.00030514+0.0021636i,0.0014244+0.0016544i,0.0013184+0.00054198i,0.00048027-0.00035165i,0.00027759-0.00035893i,0.00052106+0.00020002i,0.00052146+0.0012667i,0.00051483+0.0027006i,0.00053029+0.0028631i,0.00013743+0.0016916i,-0.00039793+0.0010527i,-0.00094141+0.0013375i,-0.0013233+0.00086892i,-0.0004739+0.00016721i,-0.00016619-0.00010832i,-0.00035774+0.00026754i,8.5664e-05+0.00063246i,0.00018687+0.00053613i,-0.00032574+0.00048092i,-0.0009341+0.00047866i,-0.0010998+4.2994e-05i
0.0017054-0.0006105i,0.001668-0.0018255i,0.003221-0.0022794i,0.0038705-0.0014767i,0.0029126-0.0016251i,0.002569-0.0027484i,0.0023164-0.0025718i,0.0017525-0.0010269i,0.0008982+0.00073618i,0.00058687+0.0017406i,0.00057435+0.0013495i,0.00035613+0.00031218i,0.00012003+0.00076092i,-1.0053e-05+0.0013077i,-0.0001319-0.00020072i,-0.00055629-0.00059123i,-0.00054687-0.00029059i,-0.00060394-0.00042155i,-0.00071333-0.000253i,-0.00075744+9.4065e-05i,-0.00098728-9.9763e-05i,-0.0006261-0.00062803i,0.00022159-0.00051023i
0.00023242-2.0713e-05i,-0.00023328+0.00034039i,0.00048677-0.0007061i,0.0018768-0.00090468i,0.0021388-0.0013978i,0.0016452-0.0017865i,0.00018391-0.0016751i,-0.00095035-0.0012734i,-0.00074587+2.4644e-05i,0.00027298+0.0010915i,0.0011085+0.0008748i,0.00090474+0.00038596i,0.00026597+0.00023997i,-0.00015177-0.00017822i,-0.00060444-0.00011032i,-0.00075971-7.6175e-05i,-0.00079786+0.00018152i,-0.0015581+0.00025449i,-0.00073111-3.9456e-05i,0.00081323-0.00041853i,0.00081063-0.00029517i,0.0008064+0.00011704i,0.00072843-6.3126e-05i
-0.00092722+0.00073728i,-0.0010266+0.0016828i,-0.00027196+0.0022385i,0.0011113+0.00074661i,0.001185-0.00085662i,0.0012988-0.00075852i,0.0010223-0.001023i,0.00054242-0.0014211i,-7.9242e-05-4.945e-06i,-0.0012084+0.00095712i,-0.0018028+0.00057786i,-0.0013099+0.00014379i,-0.00034527-3.0834e-05i,0.00050123-4.2228e-05i,0.00060582-0.00031268i,0.0002859-0.00034957i,7.6202e-06-0.00029586i,-9.2937e-05-0.00082294i,0.00017598-0.00046554i,-0.00021584+0.00051798i,-0.00035143+0.00077594i,0.00048094+0.00055079i,0.00062692+6.3259e-05i
-0.0037582+0.0021689i,-0.0029986+0.0030397i,-0.0019779+0.004054i,0.00025652+0.0039269i,0.0022522+0.0023906i,0.0021464+0.00035732i,0.0015202-0.00027342i,0.0012121+0.00073014i,-0.00033493+0.0016383i,-0.0012535+0.0022814i,-0.00095335+0.001776i,-0.00070703+0.0009355i,-0.00075329+0.00028821i,-0.00043258-0.00029615i,0.00036973-0.00076951i,0.00075673-0.0014055i,0.00032598-0.0011864i,0.0007726-0.00045211i,0.00062864-0.00041269i,0.00040758-0.00029703i,0.000876+3.5064e-05i,0.00060852-0.00019745i,0.00013075-0.00019358i
-0.00049964+0.00071583i,0.00032369+0.00045693i,0.00079128+0.00050182i,0.0014552+0.0019904i,0.0016822+0.0021797i,0.0013275+0.00021596i,0.00030031-0.0010281i,-0.00026773-0.00091834i,-0.00035772+0.0006469i,-0.00053326+0.0026581i,-7.4245e-05+0.0023463i,0.00035084+0.00091767i,-0.00012319+0.00020772i,-0.00071331+0.00041925i,-0.00057635+0.00047062i,-0.00037637-0.000328i,-0.00057832-0.00024597i,0.000313+0.0001469i,0.0008588-0.00038335i,0.00027376-0.00013698i,0.00015628+0.00096526i,-0.00049112+0.0017728i,-0.0010589+0.0010405i
0.00078959-0.00012615i,0.0013761-0.00047795i,0.0032181-0.0026509i,0.0036552-0.0042696i,0.002596-0.0036965i,0.0010859-0.0018623i,0.00034031+3.4422e-05i,0.00040742+0.00060954i,0.00050942+0.0010542i,0.00096315+0.001612i,0.0012411+0.00083899i,0.00037569+0.00035777i,-0.0011954+0.0013043i,-0.00097789+0.0015865i,3.0451e-05+0.0014069i,-0.00013594+0.00025352i,-0.00015455-0.00049391i,8.5421e-06+0.00035456i,-0.00047787+0.00047898i,-0.00085804-0.00060654i,-0.00024-5.7571e-05i,0.00019394+0.00092921i,-0.00030613+0.00067766i
0.0024018-0.0011261i,0.0018996-0.0014822i,0.0017752-0.002188i,0.0010679-0.002474i,-1.5983e-05-0.0027783i,-0.00050072-0.0028475i,-0.00042517-0.0021623i,-0.00044699-0.0009135i,-0.00064433-0.00039043i,-0.00078604+0.00039874i,-0.0012138+0.00061776i,-0.0016003-0.0003483i,-0.00084591-0.00044677i,9.3066e-05+0.00028692i,0.00019365+0.00056668i,-8.7423e-05+0.00052501i,-0.00015861+0.00040852i,1.8742e-08+0.00055296i,0.00033638+0.00019333i,0.00042673-0.00032616i,-0.00070636-6.3373e-06i,-0.0012853+0.00076209i,-0.0011101+0.00076963i
0.00014602-0.00070111i,0.0019368-0.0006972i,0.0033716+0.00079266i,0.0033685+0.0003432i,0.0022811-0.00074733i,0.00027034-0.0010328i,-0.0013303-0.001089i,-0.0013859-0.00064695i,-0.00083827+0.0006504i,-0.00093749+0.0012634i,-0.0010143+0.001023i,-0.00035275+0.00037237i,0.00091288-8.7835e-05i,0.0012679+0.00029109i,0.0011657+0.00037932i,0.00069778+0.00041413i,1.9273e-05+0.00059169i,-0.00076038-5.8362e-05i,-0.0011104-0.00036775i,-0.0010568-0.00023206i,-0.00047667-0.00034637i,-0.00035836-0.00020123i,-0.00051567-9.1997e-05i
0.00043072+0.0008274i,1.4441e-05+0.002152i,0.00014026+0.0031573i,0.00073316+0.0024083i,0.00083963+0.00044089i,0.00051912-0.00019435i,-0.00019011+0.00077839i,-0.0010169+0.0010596i,-0.0013699+0.00088593i,-0.0016531+0.0015596i,-0.0015859+0.0014697i,-0.00084009+0.00048895i,-0.00083758-0.00017426i,-0.00045512-0.0002217i,-0.00016744-3.336e-05i,-0.0004907-0.00050084i,-0.00018701-0.0013605i,-0.00020653-0.0015026i,-0.0005483-0.001313i,-0.00074312-0.0010362i,-0.0010995-0.00040806i,-0.0010988+9.822e-05i,-0.0011137+0.00037742i
-7.332e-05-0.00026836i,0.0014094+0.0011134i,0.0029909+0.0011777i,0.0024867-0.00022018i,0.0020678-0.0013438i,0.0021636-0.0020178i,0.0020831-0.00079678i,0.0010622+0.00105i,-0.00038071+0.0014557i,-0.00050997+0.0019673i,0.00022037+0.0019113i,-0.00010758+0.001484i,-0.0002636+0.0011523i,-8.1088e-05+0.0011436i,-0.0002714+0.00078452i,0.0002046-0.00046635i,-2.5464e-05-0.0012369i,-0.00083595-0.00089799i,-0.00071912-8.5976e-05i,-0.00049954+0.00065416i,0.00013871+0.00052318i,-0.00017598+0.00015948i,-0.00045085-0.00030648i
-8.6397e-06+0.0045457i,0.0012282+0.0046547i,0.0025371+0.0043866i,0.0032171+0.0023162i,0.0033128-5.5334e-05i,0.002897-0.0017874i,0.0014916-0.0013447i,0.00078712-0.00054088i,0.00062563+0.00034913i,0.0011509+0.0021595i,0.0013743+0.0022386i,0.00027922-2.7624e-05i,-0.00064755-0.00038733i,-0.0011151+0.00062472i,-0.00050352+0.00063224i,-0.0006377+0.00059334i,-0.00059787-0.00034014i,-0.00038784-0.00077789i,-0.0010146-5.7194e-05i,-0.00033279+0.00019298i,0.00050199+0.00025048i,0.00067057+0.00065835i,0.00044038+0.00074398i
0.0047771+0.0017521i,0.0052495+0.00041337i,0.0050301-0.00016166i,0.0038889-0.0010671i,0.0018647-0.0022611i,0.00049586-0.0025549i,-2.0777e-05-0.0013746i,-0.00025202-0.00056611i,0.00064489-6.8274e-05i,0.0011894+0.00017017i,0.00013538+0.00020919i,-0.00045455+0.00066812i,-0.00034144+0.0010645i,-0.000721+0.0013192i,-0.00069858+0.0014341i,-0.00034994+0.00127i,0.00022252+0.00027219i,0.00042373+0.00018335i,0.00049135+0.00078396i,0.00040406+0.00085468i,-5.4176e-05+0.0010072i,-0.00013676+0.00068825i,0.00040121+3.5931e-05i
-2.4593e-05+0.00063077i,0.0014736+0.0019172i,0.002541+0.002125i,0.0029115+0.0019731i,0.0026754+0.0010601i,0.0018687-0.00053295i,0.00062278-0.0010092i,-0.0013102-0.00021529i,-0.0020526+0.00026185i,-0.0018247+7.3626e-05i,-0.0015131-0.00028983i,-0.00099492-0.00032737i,-0.00095743-0.00021131i,-0.00032977-0.00035059i,-0.0001336-0.0002935i,-0.00016457-0.00021241i,5.5134e-05+0.00019569i,-4.3559e-05+0.00076464i,0.00017595+0.00084079i,0.00057074+0.00073775i,1.4138e-05+0.00057818i,-8.61e-05+0.00038339i,0.0009605+0.00041573i
-0.0019791-0.0012281i,-0.0016073-0.00051452i,-7.5858e-05-0.00023981i,0.00055031+0.00019959i,0.0010346+0.0002013i,0.0013192-0.00028445i,4.8895e-05-2.772e-05i,-0.0011456+4.4903e-05i,-0.00169+0.001306i,-0.0022832+0.0024424i,-0.0013996+0.0015037i,9.028e-05+0.00075681i,-4.3902e-06+0.0011117i,3.002e-05+5.7144e-05i,-0.00052241-0.0011096i,-0.0011865-0.00090598i,-0.00034643-0.0010488i,-0.00056984-0.00075694i,-0.0014847-0.00068094i,-0.0016326-0.0005621i,-0.0010545+6.7474e-05i,-0.00015583+0.00070999i,0.00042131+0.00048438i
-0.00068737+0.0011139i,-0.00021283+0.0030892i,0.00070808+0.0032137i,0.0013976+0.0028422i,0.00057196+0.0021292i,0.0003662+0.00092346i,0.00037697+0.0012094i,-0.00048515+0.0017368i,-0.0015916+0.0023072i,-0.0012846+0.0023084i,-0.00022134+0.0017787i,0.00034679+0.00096962i,-0.00033825-2.5852e-05i,-0.0008955-0.00022521i,-0.0013608-0.00022911i,-0.0014346-0.00055612i,-0.00093507-0.00072304i,-0.00016776+2.2537e-05i,6.096e-05+0.00065067i,-0.00065185+4.8358e-05i,-0.00072048-0.00040495i,-0.00016239-0.00011217i,-0.00058658+0.00030712i
0.0010155+0.0023352i,0.0014257+0.00034851i,0.0024118+7.4877e-05i,0.0026942+0.00012615i,0.0024248-0.0014952i,0.0016701-0.0025396i,0.0016287-0.0017816i,0.0020963-0.00035545i,0.00085554+0.00088848i,0.00024261+0.0012679i,0.00058219+0.0012377i,0.00038773+0.0008353i,0.00036224+0.00052345i,0.00039408+0.00052393i,7.1179e-05+0.00073399i,0.00015833+0.00039577i,0.00013559-0.00012684i,-0.00037321-0.00035546i,-0.00029844-0.00021469i,-0.00018375+0.00054041i,-0.00023255+0.00088512i,-0.0004668+0.001288i,-0.00021381+0.00052422i
0.0025977-0.0010439i,0.0025856-0.0016781i,0.0034734-0.0024003i,0.0032251-0.0012475i,0.0017777-0.0011114i,0.0011695-0.001287i,0.00029413-0.0011862i,-0.00027226-0.0010253i,-0.00018282-9.8402e-05i,0.00033873+0.00074543i,0.00098389+0.00050137i,0.00015885+0.00013579i,-0.00068241+0.00032541i,6.7629e-05+0.00090208i,0.00096825+0.00047039i,0.0010451-0.00022272i,0.00025518-0.00094537i,-6.5884e-05-0.0013907i,-0.00015083-0.00078612i,-0.00017531-0.00057646i,0.0003499-0.00031164i,0.00057473-0.00029813i,7.5627e-05+4.0541e-05i
