-0.0055718-0.00054364i,-0.0056725-0.0019401i,-0.0065381+0.00047583i,-0.0055885+0.0027788i,-0.003169+0.0026875i,-0.0011257+0.0024326i,-0.00038089+0.0029669i,0.00044036+0.0026583i,0.00055471+0.002106i,0.00046723+0.0017743i,-0.00014954+0.0012138i,-0.0011365+0.00081279i,-0.00059743+0.00013255i,-0.00019018-0.001368i,0.00013702-0.0015102i,-0.00026242-6.666e-05i,-0.00065568+0.00095337i,-1.984e-05+0.00056963i,0.00078697-0.00031705i,0.00086603-0.00026643i,0.00065544+0.00017555i,0.00047573-0.0005993i,-1.8922e-05-0.0009669i
-0.0039008+0.022636i,0.014895+0.015113i,0.017481+0.0068099i,0.008664+0.0016734i,0.00051735-0.00079472i,-0.0041871-0.00063147i,-0.0047299+0.00029596i,-0.0024441-0.0004281i,-0.0012124-0.0011507i,-0.00016362-0.00093168i,0.0011093-0.00045478i,0.0015789+0.00041869i,0.0015396+0.00083914i,0.00070308+0.00064566i,0.00022413+0.00083035i,0.00017968+0.0003077i,-5.9294e-05-0.00077189i,-0.000356-0.0009121i,-0.00052798-4.4549e-05i,-0.00048657+0.00090855i,-0.0009665+0.0014273i,-0.0017811+0.0010483i,-0.0012045+0.00068954i
0.016609+0.010747i,0.014845-0.010468i,0.0085586-0.016961i,0.0014077-0.010607i,-0.003757-0.0029261i,-0.0056921+0.0016317i,-0.0042438+0.0033902i,-0.0023004+0.0028627i,-0.0021698+0.0016865i,-0.0018364+0.00029625i,-0.00070089-0.0013222i,0.00040217-0.0025864i,0.00091584-0.0027086i,0.0010057-0.0024822i,0.00071774-0.0017089i,0.00018902-0.0002894i,0.00022624+0.00059594i,0.00018637+0.0012748i,-0.00038023+0.00081268i,-0.00012449-0.00062851i,0.00042348-0.00063759i,0.0011016-0.00054677i,0.001065-0.0012015i
0.015517-0.010577i,-0.0059984-0.015178i,-0.013138-0.0121i,-0.0087195-0.0057109i,-0.0052751-0.00038136i,-0.0031636+0.0030516i,3.1804e-05+0.0039836i,0.0010945+0.0029655i,-0.00029887+0.0021368i,-0.001343+0.0016294i,-0.0020657+0.00098088i,-0.0029253-0.00025397i,-0.0029107-0.00089188i,-0.0018953-0.00094611i,-0.0011074-0.00071749i,0.00013331-0.00027608i,0.0010756-0.00033724i,0.00085351+0.00026349i,0.000181+0.0010034i,0.000517+0.00045694i,0.00076895-0.00081278i,8.7066e-05-0.0016425i,-0.00029904-0.0011753i
-0.0028842-0.018923i,-0.013248-0.00034322i,-0.014503+0.0070906i,-0.0096507+0.0049474i,-0.0044604+0.0040033i,0.00042154+0.003906i,0.0021025+0.0013092i,0.00096625-0.00016115i,0.00096776+0.00036636i,0.001018+0.0019738i,-9.2479e-05+0.0036481i,-0.0016136+0.0035658i,-0.002591+0.0022626i,-0.0022214+0.0011911i,-0.0015015+0.00071044i,-0.0006445+0.00041237i,0.000521+0.00021077i,-2.4574e-05-7.6528e-05i,-0.00064291-0.00051428i,-0.00023617-0.0012245i,0.00017158-0.0016032i,-1.9582e-05-0.00089354i,-0.00022513+0.00042802i
-0.01786-0.0034238i,-0.00068804+0.011169i,0.0068966+0.012662i,0.0046975+0.0066037i,0.0017584+0.0013706i,-0.00044257-0.0020945i,-0.00206-0.0028186i,-0.0014016-0.0017411i,-0.00011121-0.0011324i,0.00089215-0.00087112i,0.0017913+0.00047205i,0.0023617+0.0025183i,0.0018464+0.0032805i,0.00053412+0.0028614i,-1.3804e-05+0.0026482i,4.9334e-05+0.0016946i,-0.00037209-0.00040423i,-0.0005951-0.0013525i,-0.00054111-0.00086932i,-0.0002494-0.00034439i,0.00015974+0.00024062i,0.00054532+0.0004643i,0.00082068+0.0005515i
-0.011092+0.012397i,0.0077471-0.00059064i,0.011004-0.0081689i,0.0033175-0.0071052i,-0.0028144-0.0037174i,-0.0058837-0.0012139i,-0.0059943+0.00089268i,-0.0039063+0.00074188i,-0.0021548-0.00072372i,-0.00085871-0.0018263i,0.0011342-0.0022644i,0.002966-0.0023673i,0.002891-0.0016019i,0.0021896-0.00058121i,0.0012165-0.00032931i,-1.0639e-05-0.00028774i,-0.00023689+0.00051396i,0.00011759+0.0017302i,0.00021979+0.0022974i,-0.00025063+0.0015381i,-0.0003234+0.00089683i,-0.00016629+0.00014355i,0.00046842-0.00039966i
0.009112+0.01686i,0.0025073-0.0054922i,-0.0029859-0.011876i,-0.00385-0.0080148i,-0.0043822-0.0028904i,-0.006622+0.001395i,-0.0049869+0.0036595i,-0.0020387+0.0025444i,-0.0015444+0.00056876i,-0.001595-0.0005935i,-0.0019093-0.0018728i,-0.0016786-0.0035518i,-0.00054009-0.0045928i,0.00070422-0.0029849i,0.00067462-0.00090078i,-0.00044003-0.00022151i,-0.00077567-1.8858e-05i,-0.00037596+0.00099041i,0.00057252+0.00074078i,0.0012168-0.0002747i,0.0010109-0.00045421i,0.00047839-0.00080572i,0.00078578-0.0013839i
0.019085-0.0014015i,-0.0046634-0.0005956i,-0.011867+0.0031029i,-0.0084353+0.0030719i,-0.0058721+0.0027748i,-0.0022331+0.004395i,0.0018972+0.0037677i,0.0020947+0.0015139i,-0.00011787+0.0012535i,-0.0012433+0.0022228i,-0.0027709+0.0025195i,-0.0047446+0.0021974i,-0.0043842+0.00067345i,-0.0028162-0.0010425i,-0.00095097-0.0014735i,-0.00021203-0.00077089i,-0.00017368-0.00050079i,0.00075795-0.0011146i,0.0010094-0.00097444i,0.0010511-0.00075972i,0.00088728-0.0010228i,0.00032455-0.0009459i,2.9778e-05-0.0009066i
0.0074521-0.019136i,0.0015102+0.0038878i,0.00051851+0.011778i,0.00043696+0.00724i,-3.6323e-05+0.0034997i,0.00044032+0.0019592i,0.0010487+8.7616e-05i,0.00072261-0.00032622i,0.00030844+0.00062939i,0.00025079+0.0010284i,0.00014989+0.0027557i,-0.00022151+0.0054416i,-0.00066081+0.0056268i,-0.001441+0.0036902i,-0.0015445+0.0022302i,-0.00096207+0.0012326i,-0.0005601-0.00033058i,-0.00051047-0.00083935i,-0.00085921-0.00010938i,-0.0010464-0.00054234i,-0.00018474-0.0011198i,6.0137e-05-0.00063508i,-0.00094797-0.00019817i
-0.013539-0.019611i,0.0072657-0.0086788i,0.011652-0.0057521i,0.0032402-0.0049376i,-0.0015371-0.0034647i,-0.0015538-0.0029084i,-0.0025325-0.0026623i,-0.002027-0.0021304i,3.5441e-05-0.0015145i,0.0012112-0.00038368i,0.0025963+0.00063975i,0.0038687+0.0010397i,0.004044+0.00053877i,0.0022893+0.00073362i,0.00054404+0.001381i,-0.0007663+0.00066391i,-0.0016298+8.3202e-05i,-0.0016282+0.00082371i,-0.0012304+0.0011897i,-0.0014359+0.00087231i,-0.001617+0.00073169i,-0.00045737+0.00057845i,0.00021573+0.0014042i
-0.022656+0.0059147i,-0.0051119-0.010461i,-0.0020455-0.015286i,-0.0045879-0.0096515i,-0.0056603-0.0031288i,-0.0076932-0.00034635i,-0.0078138+0.0014998i,-0.0049092+0.0012893i,-0.0026126-4.7442e-05i,-0.0016322-0.0011761i,-4.8405e-05-0.0022286i,0.0009958-0.0035232i,0.00073003-0.0040924i,0.0012236-0.0026804i,0.0016835-0.0011536i,0.00023027+8.1889e-05i,-0.001124+0.00099428i,-8.3864e-05+0.0019364i,0.00081415+0.0012323i,0.00025641+0.00041245i,0.00053007+0.0011223i,0.00087841+0.0014901i,0.0014262+0.00075187i
-0.0021264+0.025672i,-0.013691+0.0038452i,-0.017975-0.0021568i,-0.013538+0.00095583i,-0.0092908+0.0035423i,-0.0075802+0.0055014i,-0.0043424+0.0063874i,-0.0019181+0.004706i,-0.0020736+0.0020554i,-0.0024689+0.00026048i,-0.0029848-0.00090255i,-0.00359-0.002109i,-0.0034733-0.0025627i,-0.0013862-0.0022944i,0.00040724-0.001609i,0.00064444-0.00063724i,0.00093961+0.00061844i,0.0014145+0.00096042i,0.0015877+0.00075431i,0.0007258+0.0010713i,0.00028912+5.9605e-05i,0.00079684-0.0013725i,0.00067124-0.001822i
0.02742+0.010722i,0.0026526+0.015649i,-0.0048539+0.017808i,-0.0026793+0.012672i,-0.0018994+0.0067776i,-0.0011201+0.0055557i,0.00035473+0.0040308i,0.00011948+0.0016013i,-0.00012004+0.0016833i,-0.00054817+0.0020691i,-0.0022256+0.0017131i,-0.003609+0.0030715i,-0.0031275+0.0046502i,-0.0016057+0.0025103i,-0.00096059-0.0010245i,-0.00073465-0.0017669i,-0.00063866-0.0010143i,-0.00046161-0.00098324i,-0.00012491-0.00099658i,-0.00022513-0.0011798i,0.00015357-0.001883i,0.00057587-0.0016734i,0.00032715-0.00069905i
0.023187-0.025696i,0.021315-0.0011983i,0.020251+0.0054013i,0.012614+0.001232i,0.0035818+4.901e-05i,0.0021796+0.00052531i,0.0026765-0.0011668i,0.0025662-0.0014965i,0.0022621-0.00076567i,0.0011905+0.00044123i,0.00089619+0.0026361i,0.001745+0.004281i,0.0024164+0.0037235i,0.0011077+0.0018533i,-0.00058534+0.00083704i,-0.00055111+0.00049528i,-0.00048466-0.00054278i,-0.00073108-0.001038i,-0.00037707-0.00035412i,-0.00037131-0.00031982i,-0.00097924-0.00012551i,-0.00091723+0.0002653i,-0.00044049+0.00016084i
-0.017508-0.030299i,0.0047292-0.022395i,0.010298-0.019159i,0.0040372-0.013728i,-0.00056733-0.0074327i,-0.0025003-0.0054581i,-0.0040042-0.0041129i,-0.002671-0.0028007i,-0.0005909-0.0020574i,0.00058749-0.001242i,0.0026973-0.0010991i,0.0052066-0.00079698i,0.0043852-0.00095234i,0.0011428-0.00033107i,0.00034127+0.0013245i,0.00013724+0.0010517i,-0.0008683-0.00017761i,-0.00038267-0.00013141i,0.00025492+9.6165e-05i,-0.00015561+4.4315e-05i,-0.00050415+5.6342e-05i,-0.0012358+9.5959e-05i,-0.00095735+0.00087594i
-0.041287+0.006999i,-0.026732-0.012984i,-0.021475-0.017608i,-0.016468-0.0097042i,-0.010176-0.002877i,-0.0085469+0.00019861i,-0.0069631+0.0022135i,-0.0040032+0.0019278i,-0.0026273+0.00030299i,-0.0016238-0.0001679i,-0.00052778-0.0016796i,-0.0008482-0.0037877i,-0.00079326-0.0037299i,7.4217e-05-0.0021671i,0.00083917-0.0011527i,0.000463-0.00018853i,-0.00011448+0.00091082i,0.00036413+0.0014545i,0.0012968+0.00069911i,0.0013424+0.00017247i,0.00070641+0.00063732i,0.00033303+0.00073537i,0.00010433+0.00018362i
-0.0036903+0.039902i,-0.017671+0.019877i,-0.021575+0.012629i,-0.015212+0.010675i,-0.0097185+0.0086706i,-0.0074623+0.0083754i,-0.0046452+0.0072865i,-0.0028875+0.0040431i,-0.0026642+0.0014669i,-0.0024697-9.2908e-06i,-0.0032499-0.00029458i,-0.004653+0.00030655i,-0.0046562+0.00090121i,-0.0017855+0.00063237i,8.2308e-05+0.00016629i,-6.5393e-05+0.00075914i,0.00047664+0.0014211i,0.00062699+0.0011005i,0.0011528+0.00036991i,0.0021441+0.0004293i,0.0016009+0.0006267i,0.00014307+1.5509e-05i,-0.00051666-0.00089203i
0.044145+0.017226i,0.021981+0.023007i,0.012692+0.023092i,0.0084317+0.014099i,0.0027602+0.0072379i,0.0015109+0.0060591i,0.0029812+0.0038401i,0.0016804+0.0021878i,-0.0001192+0.00211i,-0.00012005+0.0019682i,-0.00062355+0.0029802i,-0.00066904+0.0042509i,0.00067428+0.0037039i,0.00079965+0.0015806i,-0.00041967+0.00030476i,-0.0006487-0.00029439i,-0.00022124-0.0011843i,-0.00027769-0.0016739i,-0.00018752-0.001249i,0.00033326-0.00024098i,0.00077859-0.00047848i,0.00070155-0.00063603i,-0.00012004-0.00086884i
0.031297-0.036602i,0.030777-0.012933i,0.0262-0.0041043i,0.013432-0.0040674i,0.0037599-0.0032145i,0.0023002-0.0026131i,0.0018532-0.0034069i,0.001416-0.0014511i,0.00098032+0.0004159i,0.00093059+0.00054014i,0.0020471+0.0012849i,0.0041524+0.0023283i,0.0045053+0.0013981i,0.0017703-0.00083102i,9.7681e-06-0.00086999i,-0.00020495-0.00038103i,-0.0005908-0.001337i,-0.0011585-0.00094178i,-0.0014178+0.0005087i,-0.0013826+0.00044314i,-0.0011483-0.00019772i,-8.0592e-05-3.0508e-05i,0.00035663+0.00091746i
-0.029304-0.04312i,-0.0076876-0.037776i,0.0014039-0.032349i,-0.0005847-0.020855i,-0.0031485-0.010522i,-0.0044189-0.0066204i,-0.0048225-0.0032165i,-0.0024087-0.00044931i,-0.00040919-0.00029681i,0.00029571-0.00091206i,0.00096549-0.0019921i,0.002065-0.0039121i,0.0014041-0.0041938i,-0.00086512-0.0021225i,-0.00082244+0.00029752i,-0.00034339+0.00071809i,-0.00038431+0.00027459i,-2.2026e-05+0.00078683i,-0.00031482+0.00082046i,-0.00077189+0.0012883i,-0.00049666+0.0010495i,-0.00022746+8.5167e-05i,-0.00058709+0.00058728i
-0.05079+0.015993i,-0.037489-0.0025488i,-0.029353-0.0098027i,-0.020259-0.0061471i,-0.012942-0.0019905i,-0.011094+0.00038071i,-0.0082497+0.0019537i,-0.0035955+0.00075617i,-0.0018883-0.001159i,-0.0019353-0.0014515i,-0.001698-0.0019088i,-0.0026594-0.0033134i,-0.0040206-0.0030035i,-0.0025105-0.0001205i,-0.00032911+0.0018562i,0.00020381+0.0023101i,0.00034334+0.0028391i,0.0010724+0.0022515i,0.002169+0.00076029i,0.0017864+0.00082517i,0.00076505+0.0013702i,-0.00026563+0.00096436i,-0.00024322+0.00022656i
0.0032113+0.059003i,-0.0095556+0.039508i,-0.014251+0.026091i,-0.0095605+0.015253i,-0.0053554+0.0086731i,-0.0043146+0.0085753i,-0.0026706+0.0070861i,-0.002514+0.0030934i,-0.0035326+0.00159i,-0.0028869+0.001598i,-0.0024121+0.0017744i,-0.0031506+0.002904i,-0.0025796+0.0041987i,-0.00085631+0.0032286i,-2.5221e-05+0.0007231i,-0.00022638-0.00020463i,-0.00018473-6.773e-05i,0.00015237-0.00032586i,0.00031211-0.00049423i,0.00092198-0.00086783i,0.0013515-0.00037521i,0.0009623+0.00037736i,0.00071219+0.00024338i
0.061403+0.015647i,0.039293+0.020107i,0.025815+0.018444i,0.014173+0.010376i,0.0042032+0.004389i,0.0026045+0.0035708i,0.0035128+0.0025047i,0.001241+0.0021696i,-0.00056249+0.0026849i,-0.00097692+0.0025533i,-0.00067417+0.0036314i,0.0006457+0.0048928i,0.0023355+0.0036227i,0.00099404+0.00065158i,-0.0011862-0.0017039i,-0.0011392-0.0018087i,-0.00055898-0.001607i,-0.00046545-0.0019405i,-0.0011947-0.0010497i,-0.00069636-0.0004713i,0.0003745-0.00078019i,0.00085164-0.0014292i,0.00065409-0.0011858i
0.034255-0.056918i,0.032202-0.03532i,0.025839-0.024723i,0.012756-0.016825i,0.0021391-0.0077846i,4.268e-05-0.0043776i,0.00019805-0.0038234i,0.0007172-0.0012193i,0.0016249+0.0011646i,0.0017175+0.0019741i,0.0019625+0.0013582i,0.0030959-0.00098899i,0.0032588-0.0028946i,0.00039581-0.0030917i,-0.0018256-0.0017492i,-0.0011506-0.00075283i,-0.00077696-0.0011721i,-0.00072863-0.00091501i,-0.00049487-0.00027922i,-0.0011475-3.2516e-05i,-0.0016355-0.00035162i,-0.00091153-0.00099545i,-0.00056729-0.00060767i
-0.044506-0.047559i,-0.026144-0.039035i,-0.016843-0.03276i,-0.013933-0.020973i,-0.010306-0.010171i,-0.0072332-0.006696i,-0.0051808-0.0044857i,-0.0023209-0.0024691i,-1.1862e-05-0.0015414i,0.00082222-0.00098961i,0.00061401-0.0020397i,-0.00070059-0.0042114i,-0.0031628-0.0038384i,-0.0030156-8.4507e-05i,-0.00017381+0.001937i,5.4041e-05+0.0010893i,-0.00063055+0.0011793i,0.00060477+0.001653i,0.0015555+0.0016404i,0.0010872+0.0017295i,0.00021078+0.0013272i,-0.00080515+0.00074229i,-0.0015558+0.0005509i
-0.062346+0.030773i,-0.04765+0.015784i,-0.035186+0.009786i,-0.022312+0.0092099i,-0.013196+0.0069264i,-0.010099+0.0056184i,-0.0070699+0.0043497i,-0.0035219+0.0011061i,-0.0016871-0.0015861i,-0.00084332-0.0017383i,-0.0018994-0.00069353i,-0.0042546+0.00030826i,-0.0045691+0.0016915i,-0.0013164+0.0026406i,0.0010747+0.0020567i,0.00026542+0.0012442i,-4.2815e-06+0.0021309i,0.0012399+0.0024003i,0.0015326+0.0013715i,0.0010856+0.00088711i,0.0011702+0.0014555i,0.001718+0.001765i,0.0018083+0.0013762i
0.014295+0.068676i,0.0048015+0.047597i,0.0017225+0.031612i,0.003312+0.018995i,0.0018649+0.0099541i,0.00024075+0.0083718i,0.00033236+0.0067956i,-0.0010978+0.0026963i,-0.0025378-2.1867e-05i,-0.0025074+7.1319e-05i,-0.0016708+0.0015365i,-0.0011473+0.0041526i,0.00087015+0.0052069i,0.002757+0.0027384i,0.001807+0.00013845i,0.00066989-9.5412e-05i,0.00042006+0.00087977i,-0.00022239+0.0002138i,-0.00077648-0.00048302i,0.00025261+0.00050484i,0.0018794+0.00050488i,0.0019907+0.00041892i,0.0015843+0.00049172i
0.074653+0.0020947i,0.051137+0.0026434i,0.033661+0.00032008i,0.01813-0.0046187i,0.0062193-0.0049544i,0.0035753-0.0012783i,0.0029015+8.6512e-05i,0.00057798+0.00072832i,-0.001097+0.0019014i,-0.0011162+0.0018615i,0.001021+0.0014068i,0.0044223+0.0013142i,0.0050298-0.00032899i,0.0021149-0.0029888i,-0.00044951-0.0030354i,-0.00078618-0.0014861i,-0.00052803-0.0016355i,-0.00037504-0.0016314i,-0.00011534-0.00041122i,-9.3683e-05-0.001058i,0.00022595-0.0014523i,0.00050278-0.0012638i,0.00052459-0.0017566i
0.024053-0.07442i,0.017893-0.053396i,0.0082077-0.037246i,-0.0035331-0.02398i,-0.0081588-0.011299i,-0.0050639-0.0049468i,-0.002021-0.0026341i,0.0002069-0.00072555i,0.0015666+0.00095274i,0.0015773+0.0016159i,0.0017612+4.6263e-05i,0.001782-0.0031999i,0.00029688-0.0049819i,-0.0015383-0.0029371i,-0.0016906-0.00096019i,-0.0010124-0.00092581i,-0.00045823-0.0010695i,-0.0007486+5.0416e-05i,-0.0010729+0.00057062i,-0.0012489-0.00034004i,-0.0014059-0.00083728i,-0.0012747-0.0012798i,-0.0011485-0.0016284i
-0.061174-0.043769i,-0.043206-0.030607i,-0.031326-0.018016i,-0.023786-0.0062353i,-0.016594+0.00089227i,-0.011611+0.0010919i,-0.0077181+0.00018666i,-0.002863+2.3532e-06i,0.0007761-0.00057375i,0.0010823-0.00042215i,-0.00017028-0.0011691i,-0.0032335-0.0021589i,-0.0047677-0.00071624i,-0.0024216+0.00158i,0.00011264+0.0028227i,0.00089+0.0023806i,0.00026702+0.0016468i,-0.00029252+0.0014919i,5.0489e-05+0.0010434i,-0.00051324+0.00079424i,-0.0010394+0.00068685i,-0.0015344+0.00052061i,-0.0014617+0.00057549i
-0.058397+0.049257i,-0.037949+0.034216i,-0.021015+0.023003i,-0.0084005+0.017557i,-0.003425+0.011975i,-0.0051536+0.0090791i,-0.0058129+0.0069495i,-0.0039679+0.0023442i,-0.0018804-0.0011315i,-0.00048233-0.001497i,-0.0013016+6.9339e-05i,-0.0021872+0.0031999i,-0.00039923+0.005456i,0.002252+0.0042812i,0.0026037+0.0021515i,0.0003473+0.001274i,-0.0006605+0.001476i,0.00014579+0.0018836i,0.00063321+0.0017801i,0.00037493+0.0013205i,0.00045281+0.00068429i,0.00072826+0.00072257i,-0.00015583+0.0011568i
0.034023+0.070094i,0.026677+0.045209i,0.020266+0.023176i,0.016401+0.0079203i,0.0090892+0.0015379i,0.0036196+0.0036462i,0.002281+0.0051366i,2.2552e-05+0.0030987i,-0.0023202+0.00088407i,-0.0017822+8.7588e-05i,0.00042722+0.00023634i,0.0035062+0.0025503i,0.0047914+0.0033969i,0.0036018+0.00060647i,0.0011718-0.0018477i,-0.00010849-0.0023788i,0.00014274-0.0017905i,0.0010227-0.00095006i,0.00096474-0.00051446i,0.0015329-0.00051086i,0.0023378+5.9269e-05i,0.0025688+0.00048867i,0.0026924-0.00014112i
0.076927-0.010516i,0.050528-0.013219i,0.028583-0.014957i,0.012847-0.016215i,0.0034451-0.013123i,0.0022128-0.0076001i,0.0029419-0.0025627i,0.0019496+0.0011802i,0.00059478+0.0028492i,-8.3268e-05+0.0033267i,0.0010839+0.00091678i,0.0033387-0.0033949i,0.0036843-0.0062931i,-4.3822e-05-0.0066078i,-0.0031525-0.0039665i,-0.0023585-0.0013026i,-0.00082352-0.00085929i,0.00018966-0.0010698i,0.00052732-0.0011661i,0.0004195-0.0023245i,0.00073021-0.0032347i,0.00093879-0.0024329i,0.00044255-0.0011524i
0.0074995-0.079779i,-0.003948-0.053173i,-0.014136-0.029537i,-0.019215-0.015482i,-0.016324-0.0072661i,-0.01027-0.0047083i,-0.0047931-0.0039906i,-0.00077284-0.0022189i,0.0009201-0.00043436i,0.00093683+0.00052218i,0.00016214-0.00074309i,-0.0015086-0.003747i,-0.0037153-0.0050327i,-0.0048642-0.0031926i,-0.0033234-0.00049368i,-0.0011094+0.0004714i,-0.00064283+0.00085339i,-0.0010892+0.00081849i,-0.00055583-0.0003308i,-0.00080905-0.0012205i,-0.0017216-0.0012506i,-0.001805-0.0012106i,-0.0014999-0.00089773i
-0.077204-0.029621i,-0.052744-0.011954i,-0.031477+0.0032566i,-0.019783+0.012339i,-0.012859+0.012895i,-0.0098785+0.0077861i,-0.0071115+0.0025669i,-0.0035543-0.00086124i,-0.00044593-0.0014598i,0.001145-8.4442e-05i,0.00034793+0.0012831i,-0.002183+0.0021277i,-0.0040927+0.0031233i,-0.0019291+0.0039835i,0.0016293+0.0032254i,0.0020936+0.0018101i,0.00021327+0.001841i,-0.0006337+0.0027537i,-0.00049199+0.0026474i,-0.001525+0.001646i,-0.0024147+0.0012731i,-0.0027948+0.0014414i,-0.0034364+0.0019042i
-0.046309+0.064432i,-0.020188+0.045674i,-0.0010864+0.026719i,0.0078528+0.017113i,0.0069748+0.012572i,0.0012922+0.0098231i,-0.0016102+0.0072296i,-0.0020316+0.0038511i,-0.0024064+0.00018675i,-0.0017192-0.00093943i,2.6169e-05+0.0010616i,0.0013189+0.0043295i,0.0020961+0.0066797i,0.0033726+0.0048542i,0.0035774+0.001342i,0.0017944+0.00016471i,0.00033387+0.00023404i,-0.00016249+0.00089437i,0.0001765+0.0010713i,0.00043661+0.001205i,0.00078254+0.001283i,0.00095705+0.0014075i,0.00076997+0.0013734i
0.051808+0.061304i,0.041331+0.030094i,0.026354+0.0044893i,0.017442-0.0075123i,0.012286-0.0078494i,0.0077677-0.0017354i,0.0041783+0.002605i,0.00072454+0.0027412i,-0.002295+0.0017769i,-0.0025162+0.00069171i,-0.00013409-0.00037279i,0.0032545-0.0008492i,0.00561-0.0010099i,0.0043295-0.0015811i,0.00083515-0.002179i,-0.0012363-0.0019714i,-0.00055019-0.0011737i,0.0009851-0.00031127i,0.00082143-7.2301e-05i,0.00080795+0.00010486i,0.0016708+3.5806e-05i,0.0023505-0.00059333i,0.0028861-0.001128i
0.075086-0.035287i,0.041125-0.032417i,0.011409-0.025755i,-0.0035941-0.021466i,-0.0069001-0.015871i,-0.0039336-0.0088853i,-0.00038142-0.0026246i,0.001205-6.3999e-05i,0.00053743+0.00092695i,-0.00034246+0.0014572i,-0.00034334-0.00017605i,2.2931e-05-0.0033241i,-0.00065539-0.0047885i,-0.0023038-0.0044349i,-0.002997-0.0034977i,-0.0023278-0.0019372i,-0.0007499-0.001087i,0.00065544-0.0018158i,0.0010177-0.0021621i,0.00076074-0.0022837i,0.0010896-0.002891i,0.00097426-0.003314i,0.00045292-0.0024374i
-0.012621-0.07703i,-0.019745-0.045524i,-0.019127-0.017587i,-0.019836-0.0048382i,-0.01888-0.0015484i,-0.014232-0.0012628i,-0.0078897-0.0015585i,-0.0023048-0.0018415i,0.00077577-0.00067633i,0.0011908+0.00055818i,-0.001125+0.00045096i,-0.0045241-0.0010156i,-0.0060214-0.0015411i,-0.0049513+0.00021878i,-0.0028505+0.0015483i,-0.00042341+0.001631i,0.00050854+0.00047376i,-0.0002735-0.00076084i,-0.00041329-0.00043188i,-0.00066603+0.00021239i,-0.0017093-0.00049465i,-0.0017406-0.00081526i,-0.0015154-0.001283i
-0.078659-0.0064629i,-0.047703+0.009418i,-0.019363+0.014597i,-0.0097039+0.015953i,-0.008358+0.015233i,-0.0076719+0.010486i,-0.0066329+0.0048942i,-0.0039453+0.0010778i,-0.0015951-0.0012588i,-7.0621e-05-0.00078856i,6.7459e-05+0.0017822i,-0.00068488+0.0046942i,-0.00045978+0.0065361i,0.00090932+0.005306i,0.0021434+0.0030562i,0.0016654+0.0016691i,-0.00049951+0.00076711i,-0.0018338+0.00052818i,-0.0015968+0.00079489i,-0.00083548+0.001362i,-0.0012709+0.0012119i,-0.0017196+0.0012593i,-0.001659+0.0014941i
-0.026128+0.074072i,-0.0031093+0.04808i,0.0091087+0.020356i,0.011714+0.0089025i,0.0098991+0.0071898i,0.005556+0.0072772i,0.00053035+0.0054372i,-0.0026337+0.002765i,-0.0029655+0.0013323i,-0.0012646+0.00038816i,0.001766+0.00029799i,0.0049123+0.0013644i,0.0063215+0.0013167i,0.0056697+0.00047314i,0.0038971-0.00091082i,0.0017011-0.0014011i,-0.00045671+0.0002827i,-0.0016813+0.0022814i,-0.001673+0.0029662i,-0.00019718+0.0028082i,0.00058928+0.0022288i,0.00073198+0.0016763i,0.0014653+0.0014758i
0.066944+0.043983i,0.048049+0.013812i,0.023729-0.0072546i,0.012397-0.013112i,0.0085492-0.010597i,0.0050676-0.0054759i,0.001837-0.00051043i,0.00042491+0.0022596i,-0.0009673+0.0024367i,-0.0019979+0.001512i,-0.00093273-0.00090303i,0.0010282-0.0037863i,0.0014354-0.0048817i,-0.00024197-0.004246i,-0.0015837-0.0028784i,-0.0014933-0.0015081i,-0.00036337-0.00012843i,0.00042529+0.00051037i,0.00094231-0.00027744i,0.0021042-0.00035239i,0.0029504-0.00037786i,0.002785-0.00055272i,0.0024249-0.00044047i
0.061281-0.053617i,0.027558-0.045055i,0.00025234-0.026533i,-0.0097498-0.01802i,-0.011241-0.014956i,-0.0095023-0.0097904i,-0.0040165-0.0038325i,0.00047147-0.0010579i,0.0014885-0.00011175i,-0.00017476+0.00091798i,-0.0028055+0.00062032i,-0.0051172-0.0017423i,-0.0059017-0.0033748i,-0.0044334-0.0022887i,-0.0034256-0.0005215i,-0.0024231-0.00014496i,9.5788e-05-0.0010408i,0.0013383-0.0025082i,0.0002468-0.003563i,-0.00068057-0.0034228i,-0.00046164-0.0033493i,0.00014364-0.0039227i,-7.9354e-05-0.0033583i
-0.036552-0.069623i,-0.035311-0.034389i,-0.023147-0.0047791i,-0.018457+0.0041894i,-0.018607+0.0041925i,-0.014677+0.0028994i,-0.0075559+0.00020183i,-0.0028544-0.0017665i,-0.0009779-0.0012502i,0.00012637+0.00043937i,-0.00032419+0.0031082i,-0.002637+0.0043573i,-0.0033162+0.0030789i,-0.0016738+0.001272i,0.00037484+0.00046875i,0.0010998+0.0010047i,0.00084028-0.00025506i,0.00039933-0.0017692i,-0.00062648-0.00099161i,-0.0018573-0.00028985i,-0.0024533-0.00015144i,-0.0025824-0.00082122i,-0.0019423-0.00087659i
