0.0023373+0.0012673i,0.00189-0.00022078i,0.0010092-0.0030112i,-0.00012025-0.0037443i,-0.0018412-0.0024627i,-0.0032377-4.2976e-05i,-0.0016122+0.0020605i,0.00061236+0.0025344i,0.0019665+0.0014896i,0.0018726-0.00093575i,0.00048788-0.0018944i,-0.0012801-0.0012741i,-0.0016058-0.0009268i,-0.00059159-0.00055933i,-0.00059654-0.00064917i,-0.0012433-0.00032475i,-0.00094999+0.00018563i,-7.1141e-05+2.3801e-06i,0.00015945+0.00038928i,-0.00017388+0.0005045i,-4.6222e-05-1.0559e-05i,-0.00028894-0.0005783i,-0.0007965-0.00084001i
-0.00029107+0.00081596i,-0.001272+0.0015983i,-0.0016653+0.00046417i,-0.0013011-0.00052002i,-0.00081732-0.00091402i,-0.0012661-0.00089561i,-0.0013298+3.3064e-05i,-0.0012627+0.00045533i,-0.0012993+0.00047609i,-0.0012592+0.00077615i,-0.0014684+0.00031079i,-0.0011319-0.00031574i,-0.00075415-0.0004295i,-0.00061667-0.0001919i,-0.00013735+0.00048974i,-8.8437e-05+0.0003661i,-0.00058542+0.00041606i,-0.00082308+0.0003984i,-0.00054767+0.0003378i,0.00013574+0.00056613i,0.00061137+0.00012352i,0.00058159-3.5888e-06i,0.0010983+1.3995e-05i
-0.0018048-0.00072584i,-0.0016672+2.0162e-05i,-0.00095464-0.00030572i,-0.0004592-0.0002815i,-0.00016664+0.00017942i,2.0026e-05+0.00026625i,-5.3425e-05+0.00068454i,2.3825e-05+0.00042439i,-7.1791e-05+4.6091e-05i,-0.00058091-9.6452e-05i,-0.00080936-0.00031595i,-0.00047345-0.00017896i,2.2393e-05-0.00010453i,0.00048987-9.1537e-05i,0.00024972+0.00016787i,0.00019056-0.00024089i,0.00079036-0.0010956i,0.00044394-0.00034153i,0.00051587+0.00036161i,0.00021237+0.00083843i,-0.00057379+0.00050578i,-0.00042864-0.00071469i,0.00018324-0.0012276i
-0.0017231+0.0015229i,-0.0017777+0.0021458i,0.00042362+0.0030845i,0.001519+0.0028271i,0.0016877+0.0018058i,0.00088001+0.00067846i,-0.00031422+0.00057194i,-0.0008407+0.00053493i,-0.00043041+0.00066355i,7.6561e-05+0.00066017i,-0.00042242-9.2611e-05i,-0.00085021-0.00037161i,-0.00049506-0.00011869i,-0.00062775+0.00035317i,-0.00081907+0.00040801i,-0.00020694+0.0001408i,-9.1927e-05-0.00019883i,-0.00031512-0.0004626i,0.0003639-0.00099353i,0.0010048-0.00072911i,0.00098854-4.8334e-06i,0.00043173+0.00023655i,0.00019103+0.00036757i
-0.00099915+0.00023366i,-0.00091693-0.00044196i,-0.00015199-0.0001326i,0.0010353-0.00055026i,0.0011238-0.00099131i,-3.2629e-06-0.00023699i,-0.00056287+0.0005364i,-0.00034823+0.0010973i,0.00032854+0.0017694i,0.00084167+0.001196i,0.00068842+0.00012551i,-0.00020634-0.00029575i,-0.0005568-0.00029471i,-0.00014597+3.3178e-05i,-0.00047482-7.5152e-05i,-0.00026932-0.00029784i,0.00038002+0.00057037i,0.0005518+0.0012888i,0.00045253+0.00090321i,0.00015606-0.0002075i,-0.00048101-0.0010072i,-0.0010453-0.00099496i,-0.00075583-0.0006061i
0.00023715+9.6311e-05i,0.00026538+0.0010019i,0.0010153+0.001829i,0.0012429+0.0027297i,-5.1232e-05+0.0034829i,-0.0010248+0.0029714i,-0.0010203+0.0011062i,-0.00075829+0.00033332i,6.6678e-05+0.00037992i,0.00014102+0.00013315i,5.4921e-05-0.00027444i,0.00056724-0.00031587i,0.0012542+0.00017517i,0.0013128+0.00018731i,0.00076067+0.00058042i,0.00061466+0.00092371i,-0.00015913+0.00017008i,-0.00049199-5.0098e-05i,0.00026586-0.00027826i,0.00047535-0.00051006i,0.0002482-7.9365e-05i,-0.0001381+0.00082407i,-0.00027679+0.00084519i
-0.0022542+0.0022688i,-0.002966+0.0023296i,-0.0017839+0.0014686i,0.0001005+0.00023697i,-5.8306e-05-0.00060188i,-0.0019367-0.00031034i,-0.0021209+0.00062878i,-0.0010712+0.00085395i,-0.00011517-0.00031342i,0.00035872-0.0012104i,0.00079294-0.0015329i,0.0008438-0.0012445i,0.00036651-0.00036488i,0.00039238-0.00053707i,0.00080625-0.0011408i,0.00012996-0.00092527i,-0.00069677-0.00071305i,-0.00063459-6.7715e-05i,-0.00051658+0.00055302i,-0.00042263+0.00049179i,-4.4984e-06+0.00027878i,-0.00016359-0.00022609i,-0.00045129+0.00017721i
-0.0030385-0.0042849i,-0.0024497-0.003728i,-0.0020054-0.0013283i,-0.0016357+0.0010074i,-0.0014285+0.00090959i,-0.0010329-0.00021741i,-0.00044758-0.0006662i,-0.00025854-0.00046564i,-0.00019923-0.00049316i,0.00032706+0.000118i,-0.00015006+1.5184e-05i,-0.0006307-0.0010824i,-0.00085685-0.0010957i,-0.00085061-0.0003399i,-0.00026567+3.6636e-05i,-3.4372e-05+0.0006673i,-0.00013064+0.0001611i,0.00030461-0.0010887i,0.00068346-0.00024436i,0.00055455+0.00059373i,0.00052907+0.00022585i,0.00044644+0.0004992i,0.00047641+0.00053967i
-0.00026722-0.0032394i,-0.00077317-0.0022259i,-0.0018147-0.00056379i,-0.0012184+0.0014521i,-3.0519e-05+0.0021939i,2.2227e-05+0.0015839i,-0.0011069+0.00070201i,-0.0008586-6.374e-05i,-5.1297e-05-1.3345e-05i,-0.00056744+0.00086566i,-0.00069568+0.0010631i,-0.00034606+0.00056502i,-0.00071274+0.0002618i,-0.00084927+0.00041997i,-0.00035041+0.00097544i,-0.00011522+0.00095696i,0.00044463+0.00028038i,0.0014466-0.00044937i,0.0013422-0.0010269i,-7.1499e-05-0.001135i,-0.00067688-0.0009043i,-0.00060838-0.00050182i,-0.00047961-0.00047901i
-0.00058842+0.0007582i,-0.001664+0.0013394i,-0.0013983+0.00137i,-0.00044575+0.0005113i,-0.00082824-0.00016703i,-0.0016657-0.00018955i,-0.0013123-0.00023877i,-0.0010042+0.00055796i,-0.0015466+0.001399i,3.4743e-05+0.0013406i,0.0010501+0.0010568i,-0.0001676+0.00070239i,-0.00052092-0.00026383i,-0.00035654-0.00053956i,-0.00031731-6.9464e-05i,0.00014931-0.00010097i,0.00041436+0.00026685i,-2.6143e-05+0.00040216i,9.5791e-05-0.00063219i,0.00039691-0.00096186i,-0.00023325-0.0010995i,-0.00080107-0.0006858i,-0.0010141-0.00040807i
-0.0012949-0.0014881i,-0.0012022-0.0012165i,-0.0020042+2.9713e-05i,-0.0015937+0.0014658i,-0.00081126+0.0024322i,-0.00089276+0.0016895i,-0.00086785+0.0010712i,-0.00060238+0.0012947i,0.00037916+0.0008343i,0.00027437+0.00048634i,0.00015324+0.00030456i,0.0015408-0.00049606i,0.0019091-0.0008837i,0.00091231-0.00030234i,0.00039095+0.00027155i,0.00024016-5.0655e-05i,-0.00017268+9.0844e-07i,-0.00039-0.00011274i,-0.00029179-0.00078145i,-0.00072833-0.00042368i,-0.00058769-0.00042952i,0.00022244-0.00088617i,0.00075728-0.00062458i
0.00081602-0.001104i,0.00026257-0.00035218i,0.00026324+0.00064317i,0.00035355+0.00091774i,0.00081039+0.0010166i,0.0007572+0.00056572i,0.00011416+9.935e-05i,-0.00054107+0.00084335i,0.00023736+0.00056389i,0.00056078-2.5261e-05i,0.00056315+2.0887e-05i,0.0010557+0.00027071i,0.00089261+0.0003769i,0.00048843-0.00014491i,2.4384e-05-0.00050722i,-0.00016389-0.00069974i,0.00010976-0.00097706i,-1.3927e-06-0.00023058i,-0.00060499+0.00060069i,-0.00065032+0.00055871i,-6.3223e-05+9.9913e-05i,0.0002454-0.00045924i,0.00016101-0.00015043i
0.00043463+0.0013798i,0.00035702+0.00044034i,0.0011047-0.00030215i,0.002014-0.00045911i,0.0026512-0.00010136i,0.0022831+5.6586e-05i,0.00062679+0.00051923i,-0.00019466+0.00051675i,0.00092706+0.00012231i,0.0017871-0.00037394i,0.0015804-0.00022438i,0.00042696+0.00038208i,-0.00039185-0.00015592i,-0.00020794-0.00070114i,0.00081133-0.00050495i,0.0009186+0.00080292i,0.00048286+0.0011818i,-3.5736e-05+0.00038162i,-8.881e-05+0.00010903i,0.00025178+1.4189e-05i,0.00022418+2.2832e-05i,-2.143e-05+0.00045094i,-3.518e-05+0.0005828i
0.00017003-0.00025309i,-0.00048002+0.00033238i,0.00016515+0.0016732i,0.00030963+0.0015599i,0.00017189+4.9608e-05i,0.00016249-6.7589e-05i,-0.00041263+0.00030758i,-0.00069907-1.5432e-05i,-0.00012754-0.000327i,-0.0004554-0.0009712i,-0.0012645-0.001427i,-0.0018797-0.00083935i,-0.0014103-0.00050873i,-0.00053792-0.00038986i,-0.00065348+0.00017258i,-0.00089294-8.7111e-05i,-0.00050482+0.00027361i,0.00019675+0.00033701i,-8.0333e-05+0.00024568i,-0.00066666+0.00069371i,-0.00049671+0.00057623i,0.00019496+0.00026323i,0.00084952+0.00055924i
-0.0019337-0.001066i,-0.0019613-0.00048779i,-0.0012081+0.00031072i,-0.00025747+0.001242i,-0.00077093+0.0009063i,-0.00086235+0.00039218i,-0.00077887-4.133e-05i,-0.0010711-0.00090196i,-0.00072709-2.4932e-05i,-0.00024862+0.002246i,-0.00049207+0.0024544i,-0.0013553+0.00077984i,-0.001103-3.6562e-05i,-0.00014582-0.00016178i,7.207e-05+8.9239e-05i,9.7886e-05+0.00049726i,-1.1119e-05+0.00062575i,-0.00071764+0.0010354i,-0.00064338+0.00038731i,-0.00043908-0.00042641i,-0.00018521-0.00030487i,0.00013688-0.00064733i,-0.0001391-0.00059291i
-0.00066857+0.00081054i,-0.00091562+0.0016552i,-0.0015587+0.0017658i,-0.00082805+0.0025012i,0.00030856+0.0026505i,0.00028631+0.0013468i,-0.00014465+0.0011827i,-0.00079186+0.0017368i,-0.00087698+0.0012763i,-0.00057883+0.001002i,-0.00038941+0.00072281i,0.00017802-5.8917e-05i,0.00020021-0.00035798i,0.00042337-0.00043334i,0.00078271-0.00038962i,0.00097574-0.00073519i,0.00076344-0.00047472i,-7.2377e-05-0.00014702i,-0.00021637-0.00093722i,-4.8225e-05-0.0014109i,-0.00018625-0.0013293i,0.00019944-0.0014471i,-4.3482e-05-0.00083462i
-0.00098917-0.0017764i,-0.00053853-0.00040286i,0.00044532+0.0010679i,0.0013262+0.00092989i,0.0015952+0.00034432i,0.0007613+0.00064854i,-0.00085752+0.00093926i,-0.0015637+0.0009798i,-0.00051097+0.0017008i,0.00042306+0.0019669i,0.00058298+0.001296i,0.0011494-0.00020919i,0.00081099-0.0011118i,0.00065661-0.00037303i,0.00058864-0.00027256i,0.00045073-0.001224i,0.00059136-0.001514i,0.00021317-0.0013449i,0.00025556-0.0007446i,0.00035221-0.00063702i,0.00028279-0.00093301i,0.00012154-0.00069632i,-7.0577e-05-6.6313e-06i
0.00064904-0.0010905i,-0.00024967+0.0013061i,-0.0020868+0.001703i,-0.0018757+0.0020938i,-0.00093088+0.0016534i,-0.00044266+0.00070663i,-0.00056754+0.00055323i,-0.0007757+0.0012272i,-0.00040833+0.0013523i,4.4727e-05+0.00070839i,0.00050527+0.00032961i,0.00022356+0.0012824i,-0.00033695+0.0015852i,-0.00015033+0.0014022i,-0.00046179+0.0015471i,-0.00062322+0.00074092i,-0.0004722+0.00017664i,-0.00056852-8.1711e-05i,-0.00061934-0.00039683i,-0.00010508-3.5864e-05i,-5.6761e-06+0.00030576i,-0.00024407+0.00055968i,0.00016987+0.00089408i
-0.0016932+0.00030481i,-0.0017608+0.0013113i,-0.0010834+0.0024401i,-0.00095033+0.0017909i,-0.00097277-0.00013119i,-0.0004236+0.00028007i,0.00028284+0.00087995i,0.00066768+0.0006063i,0.00094738+0.0008252i,0.00071693+0.00054349i,-0.00026722+0.00058961i,-0.00074577+0.0013571i,-0.00048906+0.00091669i,-0.00038657+0.00025042i,-0.0007679+0.00025351i,-0.00076044+0.0003062i,-0.00051234+0.00030988i,0.00019555+0.00084156i,0.0004553+0.00071435i,0.00064228+0.00040989i,0.00032944+0.00080461i,-0.00021751+0.0012015i,0.00025149+0.0014621i
-0.0005481-0.0017595i,-0.0018956-0.0011635i,-0.0024757-0.00058767i,-0.001465+0.00056596i,-0.0010025+0.0023369i,-0.0014298+0.0020659i,-0.0013114+0.00038734i,-0.0011038-8.6017e-06i,-0.0010003+0.00011427i,-0.001888-0.00024189i,-0.001989-0.00015742i,-0.0011524+6.9077e-05i,-0.0012041-2.2932e-05i,-0.00077193-0.00073639i,-1.0812e-05-0.0010499i,-0.00012406-0.0010528i,-0.00056275-0.00097245i,-0.00061589-0.00026882i,-0.00023632+7.37e-05i,6.236e-05+4.4549e-05i,-5.7715e-05+0.00087975i,-0.00074869+0.00092389i,-0.00052266-0.00015892i
0.000592+0.0010426i,0.0003424+0.00091459i,0.0013851+0.00078595i,0.0020337+0.00063837i,0.0014765-0.00061659i,3.2107e-05-0.00080619i,-0.0010326+0.00015533i,-0.00094917-0.00041466i,-0.0011738-0.0010001i,-0.00096503-0.00093162i,0.00047637-0.00053111i,0.00088862+0.00068413i,0.00087451+0.0011901i,0.00048206+0.0012552i,0.00022756+0.00069449i,-0.00020655-0.00021589i,5.054e-05-0.00025501i,5.789e-05+8.1023e-05i,-0.00050949-0.00012255i,-0.00057682-0.00038091i,-0.00031917-0.00088626i,0.000256-0.0015844i,1.7902e-05-0.0011491i
0.00034622+0.0010287i,0.00095058+7.3523e-06i,0.0019284-0.0008293i,0.0022547-0.0010338i,0.0017008-1.5248e-05i,0.0007133-0.00033743i,-0.00057095-0.00077161i,-0.0013905-0.00040613i,-0.00081082+0.00024829i,0.00021843+0.00055601i,0.00070823+0.00052363i,0.00055427+0.0002422i,0.00094825-0.00019196i,0.0013071-8.2945e-05i,0.00043931+0.000365i,5.7881e-05+0.00047419i,-0.00050609-0.00026397i,-0.00081904-0.0010193i,-0.00056785-0.00088761i,0.00019823-0.00023155i,0.0010543+0.00023318i,0.0014573+0.00046325i,0.000818+0.00033899i
-0.00088113+0.00041267i,-0.0011009+0.0030146i,-0.00076038+0.0055968i,0.00029802+0.0046288i,0.0012728+0.0023869i,0.00015065+0.0010223i,-0.0012571+0.00041006i,-0.0011298+0.00026975i,-0.00067766-8.1241e-05i,-8.4448e-06+0.00018397i,0.0005117+0.00068048i,0.00041143+0.0012468i,5.9455e-05+0.0010793i,7.7306e-06+8.5296e-05i,-0.00024283-0.00063015i,-0.00052674-0.00063113i,-0.00082106-0.00024137i,-0.00078891-0.00046484i,1.538e-05-0.00047073i,0.00029234+0.00050568i,0.00019376+0.0010828i,0.00045263+0.00057962i,0.0013227-1.6035e-05i
-0.00033627-0.00067288i,-0.0014301-0.00064419i,-0.00074876-0.0015608i,-0.00065262-0.0017033i,-0.0013402-0.00029439i,-0.00071735+0.0015679i,-0.00010499+0.0021835i,-0.00010708+0.0017936i,-0.00012878+0.001025i,-0.00012728-3.4871e-05i,-0.00072098-0.00070499i,-0.0015879-0.0011285i,-0.0019955-0.0016003i,-0.0017991-0.00098144i,-0.00087359-7.9176e-05i,-0.00025315-0.00053751i,-0.00086018-0.0014273i,-0.00060624-0.0014882i,0.00065983-0.0013075i,0.0010091-0.0007684i,0.00074971-0.00029487i,6.0887e-05+0.00079473i,-0.00042506+0.00052835i
-0.0017629-0.00037101i,-0.0026097+0.0011041i,-0.0035307+0.0033876i,-0.0017668+0.0040767i,0.00071003+0.0033036i,0.00093754+0.0023991i,-0.00015821+0.0017971i,0.00019697+0.0015475i,0.0010802+0.00095349i,0.0015715+0.00033116i,0.00046779-0.0010141i,-4.1806e-05-0.0021489i,0.00011106-0.0011297i,-5.9671e-05+0.00042197i,-0.00043983+0.00083486i,-0.00070262+7.1341e-05i,-1.1206e-05-0.00059064i,0.00039537-0.00068867i,7.7763e-05-0.0002036i,-0.00038087-0.00018088i,-0.00081467+2.3364e-05i,-0.00016942+2.62e-05i,0.00071019-0.00030015i
-0.00096349-0.00062669i,-4.3759e-05-0.00021684i,0.0015027-0.00031964i,0.0017527-0.00034502i,0.0011633-0.00066985i,0.00043705-0.0010411i,-0.00021838-0.00047312i,-0.00067108-0.00027512i,-0.00023011-0.00082448i,0.0007913-0.00046319i,0.0012626-6.593e-06i,0.00097626-0.0002593i,0.00060159-0.00041052i,0.00064539-0.00010283i,0.00076146+0.0004106i,0.00060497+0.00049965i,0.00097162+0.00083901i,0.00081343+0.0015104i,0.00074305+0.00099546i,0.0007563+0.00013303i,3.7233e-05-1.6462e-05i,-0.00023947-0.00056339i,5.5969e-05-0.00065616i
-0.0013496+0.00060867i,-0.0011524+0.0016428i,0.00024549+0.0024944i,0.0008268+0.0022411i,-5.123e-05+0.0014587i,-0.00077159+0.00065037i,-0.00045431-0.00018238i,-0.00042316-0.00052989i,-0.00052248-7.853e-06i,-0.00016087+0.00081985i,0.00043908+0.00057726i,0.00057089+0.00046576i,0.00012971+0.0011397i,0.00048298+0.0012298i,0.00085664+0.001189i,0.00065112+0.00055987i,0.00047997+0.00012329i,0.00010022+0.00024305i,-0.00030455-2.6524e-05i,-0.00024006-0.00015019i,0.00024331-7.2442e-05i,0.00038025+1.3391e-05i,0.00038731+0.00010241i
-0.00031904-0.0007819i,-0.0016458+0.0013224i,-0.0019334+0.0016317i,-0.0010826+0.0010092i,-0.00091679+0.00018706i,-0.0012711-0.00078071i,-0.0011135-0.0016053i,-0.0012125-0.0017311i,-0.0014369-0.00059176i,-0.0007652+0.0007794i,-0.00062056+0.001355i,-0.00060726+0.00093193i,-0.00032829+8.6477e-05i,-0.00081744-0.00036375i,-0.00097437-4.2922e-06i,-0.0005272+0.00070406i,-0.00068869+0.0011215i,-0.00081009+0.00088007i,0.000326+0.00013723i,0.0011748-0.00013272i,0.00098164+8.233e-05i,0.00066965-9.2815e-05i,0.00055308-0.00055855i
-0.0033678-0.0021088i,-0.004299-0.0010787i,-0.0038922+0.0012038i,-0.0026625+0.0022531i,-0.00095441+0.0024068i,-0.0005762+0.00092452i,-0.0012968-0.00070712i,-0.0010505+4.4375e-05i,-0.00055943+0.0012051i,-0.00070621+0.0010014i,-0.001237+0.00080882i,-0.0016483-3.0269e-06i,-0.00052032-0.00064308i,0.0010208-0.00030812i,0.00070004+2.2689e-05i,-0.00043403-0.00029122i,-0.001439-0.00027557i,-0.0013843-0.00037116i,-0.0004348-0.00026652i,1.4585e-05+0.00039195i,-7.2843e-05+0.00016185i,-0.00030115-4.7763e-05i,-0.00037743+0.00041508i
-0.0019271-0.0022278i,-0.0036214-0.0011235i,-0.0028701+0.00049511i,-0.00052131+0.0021605i,0.00048499+0.0022809i,7.6129e-05+0.0013745i,-0.00068394-0.00015185i,-0.00084362+0.00016524i,-0.0019787+0.00065733i,-0.002351-0.00044553i,-0.0012304-0.0011828i,-8.1203e-05-0.0018574i,0.00068866-0.0011003i,0.00053885-0.00039362i,0.000682-0.00078268i,0.0010919-0.00057053i,0.00081105-0.00026987i,0.00021963-0.00060364i,-0.00025876-0.0011087i,0.00012023-0.00054696i,-0.00024178+0.00020971i,-0.0012315-0.00032435i,-0.0010166-0.00044504i
0.0021803-0.00010111i,0.0025448-0.00098497i,0.0025235-0.0021444i,0.00092075-0.0033802i,-0.00027055-0.0036053i,-0.0010679-0.0021406i,-0.0019975+0.00035945i,-0.0018872+0.0019551i,-0.00028844+0.0018803i,0.00074286+0.00024122i,0.00083329-0.0022043i,0.0013691-0.002368i,0.001336-0.00056408i,0.00079012+0.00060331i,0.00090411+0.00078064i,0.00049094+0.00094921i,0.00065069+0.0009518i,0.00079267+0.00069481i,-7.3251e-05+0.00063652i,-0.0002923-0.00037616i,0.00019716-0.00064872i,0.00047998-0.00017491i,0.00020642-0.00031695i
-0.0023971+0.0016038i,-0.0014584+0.0028704i,0.00078391+0.0042617i,0.0019858+0.0042259i,0.0018751+0.0036458i,0.0015859+0.0028486i,0.00092134+0.0020143i,0.00032326+0.0020065i,0.00076493+0.0020268i,0.0013933+0.0013816i,0.00070643+0.00063119i,0.00070857+0.00045012i,0.00075602+0.00056665i,6.9125e-05+0.00028316i,-0.00013323+0.00070817i,0.00010707+0.0012439i,0.00068611+0.0019204i,0.00074638+0.0020077i,0.000331+0.0014087i,0.00010844+0.00048199i,0.00032015-0.00028496i,0.00041135-0.00025463i,8.5102e-05-0.00063522i
-0.00072949-0.00020597i,-0.0010563+0.0018352i,-0.00081251+0.0011366i,-0.0010554-0.00044384i,-0.00093046+4.9537e-05i,-0.00021394+0.00094161i,0.00023991+0.00074592i,0.00061328+0.00023808i,0.00051287-0.00023547i,0.00058343+0.00019283i,6.4442e-05+0.0011451i,-0.0010465+0.00088361i,-0.00094946-0.00032974i,-0.00091752-0.0011852i,-0.001396-0.0008448i,-0.0013156-7.4534e-06i,-0.00102-1.5363e-05i,-0.00056407-0.00074912i,-1.7492e-05-0.001006i,0.0002293-0.00047929i,0.00037262+0.0001936i,0.00056972+0.00032258i,0.00020214+0.00046773i
-0.0002233+0.0032962i,-0.0021903+0.0042896i,-0.001699+0.0039289i,-0.00066184+0.0021487i,-9.3172e-05+3.5311e-05i,-0.00023177-0.0013812i,-0.00073934-0.00071167i,-0.00089364+0.00011802i,-0.00024936-0.00075577i,-0.00037871-0.00040007i,-0.0011242+0.00018245i,-0.0010894-0.001412i,-0.0011731-0.0022521i,-0.0010208-0.001406i,-0.00047304-0.0017818i,-0.00025577-0.0025214i,-0.00041385-0.0016081i,-0.00041788-0.00066508i,-9.708e-05+0.00013274i,0.0004475+0.00097134i,0.00083251+0.00092259i,0.00055534+0.00026028i,-0.00037945-0.00049844i
-0.0019198-0.00014521i,-0.00075737-0.00071842i,0.0010851-0.0015277i,0.0012737-0.0015355i,0.00075532-0.00090864i,-0.00077063-0.0004428i,-0.00229+1.9544e-05i,-0.0017826+0.0002672i,-0.00060192+0.00085304i,-0.001048+0.00091977i,-0.00069621-0.00023742i,0.00037236-0.0014038i,0.00074665-0.0012844i,0.00029367-0.00053532i,-7.1886e-05-0.00013582i,0.00045454-0.00041726i,0.00076585-0.00091748i,0.00036845-0.00063347i,0.00023229-1.6727e-05i,-0.00033083+0.0005826i,-0.00057084+0.00051405i,2.9395e-05+6.2857e-05i,0.00063262-0.00013485i
0.0021969-0.0002435i,0.0018607+0.00019187i,0.000787+0.00053599i,-4.577e-05+0.00084452i,-2.1516e-06+0.0012939i,3.1823e-05+0.0010746i,-0.00017286+0.00027196i,-0.0004914+0.0011137i,-0.00013665+0.0016735i,0.00099904+0.0016071i,0.0015709+0.0017399i,0.0020875+0.0018467i,0.0016027+0.0024465i,0.00040201+0.002516i,0.00012058+0.0020702i,0.00045586+0.00095536i,0.00064866+0.00049261i,0.00090245+0.00060268i,0.00059441+7.0115e-05i,-0.00015328-8.9858e-05i,-0.00064317-0.00034456i,-0.00083015-0.00016949i,-5.0434e-05+0.00037363i
-0.00056418+0.00029187i,-0.00080531+0.0019791i,-0.00021326+0.0034569i,0.001557+0.0022162i,0.0021546+0.00037387i,0.0013461-0.0010079i,-0.00067042-0.00077191i,-0.0019561+0.0013604i,-0.00074132+0.0026523i,0.0010436+0.0018292i,0.0014938+0.00080414i,0.0011619+0.00071028i,0.00094566+0.0011112i,-0.00019771+0.0015715i,-0.00060922+0.0022468i,0.00041938+0.0028598i,3.458e-05+0.0024121i,-0.0011869+0.0009098i,-0.0012134+0.00024583i,-0.00076952-3.1702e-05i,-0.00029819-0.00077677i,0.00016256-0.00082804i,1.6266e-05-0.00096451i
-0.0024693+0.001618i,-0.0035769+0.0027296i,-0.0028396+0.0039431i,-0.00089164+0.0036004i,0.00010141+0.0024707i,2.2936e-05+0.0013898i,0.00035172+0.00074368i,0.00058995+0.00099825i,0.0006118+0.00057012i,-0.00021806-0.00054681i,-0.0014185-0.0011553i,-0.0015629-0.00053077i,-0.0008791-0.0004412i,-0.00044342-0.00083904i,-0.0011977-0.00074451i,-0.001845-0.00064811i,-0.0013271-0.00056073i,-0.00092345-0.00038085i,-0.00096835-0.00060335i,-0.00079632-0.00097928i,-0.00057432-0.000925i,-0.00025556-0.00027033i,0.00012191-3.6149e-05i
-0.0026038-0.0019875i,-0.0041277-0.0027463i,-0.0036213-0.0015149i,-0.0017017+0.00051504i,-0.00025541+0.0011706i,-0.0001324+0.0011085i,-0.0010445+0.0013886i,-0.0010282+0.0012057i,-0.00082484-0.00035966i,-0.00098349-0.0014052i,-0.0015344-0.0018155i,-0.0014718-0.0025105i,-0.000415-0.0021172i,0.00028211-0.00084807i,0.0007536-0.0010922i,0.0010103-0.0014608i,0.001052-0.0014035i,0.0010429-0.0013583i,0.0011096-0.00055126i,0.00075582+0.00016263i,0.00019002+0.00039498i,-7.051e-05+0.0003266i,-0.00011721+0.00030818i
0.0013498-0.0009845i,0.0027147-0.0011504i,0.0033434-0.00016817i,0.0029486+7.2383e-05i,0.002879+4.7692e-05i,0.0017715-0.00029491i,0.00066278-0.00034575i,5.8445e-05+0.000145i,-0.00036293+4.1513e-05i,-0.00023731-0.00069904i,0.00040893-0.00089142i,0.00043838-0.0011383i,0.00070872-0.0016766i,0.00082491-0.0012392i,0.0014269-0.00023304i,0.0019072-0.0001192i,0.0020818-0.00025036i,0.0021266+0.00026033i,0.0019221+0.00087728i,0.0014585+0.00078765i,0.0010009+0.00037966i,-0.00016796+0.00077473i,-0.0010486+0.00083073i
0.0017371+0.0035795i,0.00074101+0.0036176i,0.00075444+0.0021507i,0.0008359+0.0012243i,0.00054159+0.0010905i,0.0005979+0.00073306i,0.00039273+9.5979e-05i,-0.00031959-0.00043821i,1.7469e-05+0.00041753i,0.0014306+0.0014104i,0.0023308+0.0015455i,0.0017248+0.0018145i,0.0011904+0.0022251i,0.0010537+0.0020729i,0.00044842+0.0014011i,-0.00010792+0.0010574i,0.00035678+0.0011598i,0.00084351+0.0014659i,0.00085745+0.001356i,0.00025655+0.00062425i,-0.00029299+0.00012781i,-0.00031254+0.00020132i,0.00015652-3.8499e-05i
-0.0031355+0.004641i,-0.0032241+0.0045158i,-0.00043877+0.0037825i,0.0020994+0.0020096i,0.0030515+0.00045071i,0.0020788-0.00046944i,0.0003766-0.00017516i,-0.00013944+0.00058191i,0.00058007+0.0012967i,0.0016513+0.001604i,0.0018177+0.0017169i,0.00061028+0.0011865i,-2.4001e-05+0.00092786i,-0.00021066+0.00085657i,-0.00092684+0.00050566i,-0.0013047+0.0015041i,-0.00081383+0.0020792i,-0.00096746+0.00093226i,-0.00090252+0.0002932i,-0.00052402+0.0002335i,-0.00061846-0.00027611i,-0.00026451-0.0003404i,0.0004694-0.00011722i
-0.002995+0.0045063i,-0.0039627+0.0040175i,-0.0019134+0.0034213i,0.00018446+0.0017789i,0.0009872+0.00065377i,0.00081915+0.00025646i,-0.0001736+5.7817e-05i,-0.00030182+0.00061931i,0.00046801+0.0004473i,0.0011189-0.00096545i,0.00016702-0.0021045i,-0.00086868-0.0025226i,-0.00086479-0.0024228i,-3.1105e-05-0.0020119i,5.1822e-05-0.00090381i,-0.0016254-0.00072788i,-0.0027294-0.0013643i,-0.002317-0.0012197i,-0.0011096-0.0009692i,-0.00056194+0.00042036i,-0.0006981+0.0013304i,-5.2192e-05+0.00018611i,0.00011031-0.00086014i
-0.0010434-0.0013013i,2.0853e-05-0.0020959i,0.001867-0.001121i,0.0014305-0.00012595i,0.00051277+0.0002271i,-0.00027849-0.00015866i,-0.0012714-0.00050727i,-0.0012098+0.00035493i,-0.00055241+0.00081624i,0.00017329-0.00105i,-0.00018973-0.002678i,-0.00098274-0.0032582i,-0.00075897-0.0030365i,-0.00046127-0.0023283i,0.00030464-0.0016967i,0.00089558-0.0016542i,0.00079827-0.0018107i,0.00045466-0.0010758i,6.5831e-05-0.0012603i,-0.00050112-0.0016733i,2.7281e-05-0.00083374i,0.00070018+0.00023185i,0.00062099+0.00016008i
